participant_id,form_name,form_size,progress_bar,completion_time_ms,scanpath_length,saccade_velocity,fixation_count,avg_fixation_duration_ms,progress_fixations,progress_fixation_time_ms,attention_ratio,revisits
37,large_with,large,with,114877,180849.1815364564,1.6714947151681823,85,110.83529411764705,117,11610.0,0.10106461693811641,66
41,large_without,large,without,117757,95886.57415085132,0.9088877524745724,23,253.2608695652174,105,24556.0,0.2085311276612006,58
114,large_with,large,with,88797,146429.2785477928,1.852609291541363,34,101.26470588235294,95,9956.0,0.11212090498552879,66
24,large_without,large,without,68821,107553.59464917393,1.665538826474771,38,106.28947368421052,108,11452.0,0.1664026968512518,63
40,large_with,large,with,26671,25071.41877240945,1.0241261960362837,32,128.21875,41,4181.0,0.15676202617074725,19
17,large_without,large,without,94528,79643.8430894455,0.9835625907628948,21,223.66666666666666,61,12032.0,0.12728503723764387,36
28,large_without,large,without,101982,171407.1898299735,1.7849490988030696,62,103.66129032258064,130,13377.0,0.13117020650703065,68
25,large_without,large,without,98524,60629.45419973174,0.690135551635532,34,238.88235294117646,95,21090.0,0.21405951849295604,49
18,large_without,large,without,85836,95396.38456357087,1.2254011440011137,100,118.39,114,11623.0,0.1354093853394846,58
35,large_with,large,with,77468,127575.1699624454,1.7381804195512522,40,103.075,96,9732.0,0.12562606495585274,59
3,large_without,large,without,66189,49016.098553755684,0.8334951107980841,16,202.1875,66,15048.0,0.22734895526446994,45
26,large_without,large,without,98013,76089.80545927613,0.9025723368744698,24,184.58333333333334,58,12601.0,0.1285645781682022,34
31,large_without,large,without,72822,91866.08838998093,1.4022253038003314,46,113.30434782608695,128,13528.0,0.18576803713163603,71
27,large_without,large,without,76450,60627.81483604005,0.8844908198137429,17,236.2941176470588,80,17919.0,0.2343884892086331,53
29,large_with,large,with,97524,126823.7133836036,1.340986031876448,65,102.0923076923077,156,15821.0,0.16222673393216028,95
33,large_without,large,without,74217,43794.2873782307,0.6804926199673456,38,208.07894736842104,85,15218.0,0.20504736111672528,37
30,large_without,large,without,112035,99389.48873877818,1.0146004911979347,23,230.04347826086956,81,16631.0,0.14844468246530101,45
36,large_without,large,without,59094,36075.9850302107,0.6998958557666469,22,249.0,50,9987.0,0.1690019291298609,23
27,large_without,large,without,44845,70749.32203582994,1.7344319842225502,19,121.47368421052632,74,7617.0,0.1698517114505519,44
13,large_with,large,with,116978,167761.23336225265,1.5069175490644422,88,123.44318181818181,144,14896.0,0.12734018362427124,63
